"Index" "new_variable_name" "old_variable_name"
36 "tbodyacc_arcoeff_z_1" "tBodyAcc-arCoeff()-Z,1"
37 "tbodyacc_arcoeff_z_2" "tBodyAcc-arCoeff()-Z,2"
38 "tbodyacc_arcoeff_z_3" "tBodyAcc-arCoeff()-Z,3"
39 "tbodyacc_arcoeff_z_4" "tBodyAcc-arCoeff()-Z,4"
40 "tbodyacc_correlation_x_y" "tBodyAcc-correlation()-X,Y"
41 "tbodyacc_correlation_x_z" "tBodyAcc-correlation()-X,Z"
42 "tbodyacc_correlation_y_z" "tBodyAcc-correlation()-Y,Z"
43 "tgravityacc_mean_x" "tGravityAcc-mean()-X"
44 "tgravityacc_mean_y" "tGravityAcc-mean()-Y"
45 "tgravityacc_mean_z" "tGravityAcc-mean()-Z"
46 "tgravityacc_std_x" "tGravityAcc-std()-X"
47 "tgravityacc_std_y" "tGravityAcc-std()-Y"
48 "tgravityacc_std_z" "tGravityAcc-std()-Z"
49 "tgravityacc_mad_x" "tGravityAcc-mad()-X"
50 "tgravityacc_mad_y" "tGravityAcc-mad()-Y"
51 "tgravityacc_mad_z" "tGravityAcc-mad()-Z"
52 "tgravityacc_max_x" "tGravityAcc-max()-X"
53 "tgravityacc_max_y" "tGravityAcc-max()-Y"
54 "tgravityacc_max_z" "tGravityAcc-max()-Z"
55 "tgravityacc_min_x" "tGravityAcc-min()-X"
56 "tgravityacc_min_y" "tGravityAcc-min()-Y"
57 "tgravityacc_min_z" "tGravityAcc-min()-Z"
58 "tgravityacc_sma" "tGravityAcc-sma()"
59 "tgravityacc_energy_x" "tGravityAcc-energy()-X"
60 "tgravityacc_energy_y" "tGravityAcc-energy()-Y"
61 "tgravityacc_energy_z" "tGravityAcc-energy()-Z"
62 "tgravityacc_iqr_x" "tGravityAcc-iqr()-X"
63 "tgravityacc_iqr_y" "tGravityAcc-iqr()-Y"
64 "tgravityacc_iqr_z" "tGravityAcc-iqr()-Z"
65 "tgravityacc_entropy_x" "tGravityAcc-entropy()-X"
66 "tgravityacc_entropy_y" "tGravityAcc-entropy()-Y"
67 "tgravityacc_entropy_z" "tGravityAcc-entropy()-Z"
68 "tgravityacc_arcoeff_x_1" "tGravityAcc-arCoeff()-X,1"
69 "tgravityacc_arcoeff_x_2" "tGravityAcc-arCoeff()-X,2"
70 "tgravityacc_arcoeff_x_3" "tGravityAcc-arCoeff()-X,3"
71 "tgravityacc_arcoeff_x_4" "tGravityAcc-arCoeff()-X,4"
72 "tgravityacc_arcoeff_y_1" "tGravityAcc-arCoeff()-Y,1"
73 "tgravityacc_arcoeff_y_2" "tGravityAcc-arCoeff()-Y,2"
74 "tgravityacc_arcoeff_y_3" "tGravityAcc-arCoeff()-Y,3"
75 "tgravityacc_arcoeff_y_4" "tGravityAcc-arCoeff()-Y,4"
76 "tgravityacc_arcoeff_z_1" "tGravityAcc-arCoeff()-Z,1"
77 "tgravityacc_arcoeff_z_2" "tGravityAcc-arCoeff()-Z,2"
78 "tgravityacc_arcoeff_z_3" "tGravityAcc-arCoeff()-Z,3"
79 "tgravityacc_arcoeff_z_4" "tGravityAcc-arCoeff()-Z,4"
80 "tgravityacc_correlation_x_y" "tGravityAcc-correlation()-X,Y"
81 "tgravityacc_correlation_x_z" "tGravityAcc-correlation()-X,Z"
82 "tgravityacc_correlation_y_z" "tGravityAcc-correlation()-Y,Z"
83 "tbodyaccjerk_mean_x" "tBodyAccJerk-mean()-X"
84 "tbodyaccjerk_mean_y" "tBodyAccJerk-mean()-Y"
85 "tbodyaccjerk_mean_z" "tBodyAccJerk-mean()-Z"
86 "tbodyaccjerk_std_x" "tBodyAccJerk-std()-X"
87 "tbodyaccjerk_std_y" "tBodyAccJerk-std()-Y"
88 "tbodyaccjerk_std_z" "tBodyAccJerk-std()-Z"
89 "tbodyaccjerk_mad_x" "tBodyAccJerk-mad()-X"
90 "tbodyaccjerk_mad_y" "tBodyAccJerk-mad()-Y"
91 "tbodyaccjerk_mad_z" "tBodyAccJerk-mad()-Z"
92 "tbodyaccjerk_max_x" "tBodyAccJerk-max()-X"
93 "tbodyaccjerk_max_y" "tBodyAccJerk-max()-Y"
94 "tbodyaccjerk_max_z" "tBodyAccJerk-max()-Z"
95 "tbodyaccjerk_min_x" "tBodyAccJerk-min()-X"
96 "tbodyaccjerk_min_y" "tBodyAccJerk-min()-Y"
97 "tbodyaccjerk_min_z" "tBodyAccJerk-min()-Z"
98 "tbodyaccjerk_sma" "tBodyAccJerk-sma()"
99 "tbodyaccjerk_energy_x" "tBodyAccJerk-energy()-X"
100 "tbodyaccjerk_energy_y" "tBodyAccJerk-energy()-Y"
101 "tbodyaccjerk_energy_z" "tBodyAccJerk-energy()-Z"
102 "tbodyaccjerk_iqr_x" "tBodyAccJerk-iqr()-X"
103 "tbodyaccjerk_iqr_y" "tBodyAccJerk-iqr()-Y"
104 "tbodyaccjerk_iqr_z" "tBodyAccJerk-iqr()-Z"
105 "tbodyaccjerk_entropy_x" "tBodyAccJerk-entropy()-X"
106 "tbodyaccjerk_entropy_y" "tBodyAccJerk-entropy()-Y"
107 "tbodyaccjerk_entropy_z" "tBodyAccJerk-entropy()-Z"
108 "tbodyaccjerk_arcoeff_x_1" "tBodyAccJerk-arCoeff()-X,1"
109 "tbodyaccjerk_arcoeff_x_2" "tBodyAccJerk-arCoeff()-X,2"
110 "tbodyaccjerk_arcoeff_x_3" "tBodyAccJerk-arCoeff()-X,3"
111 "tbodyaccjerk_arcoeff_x_4" "tBodyAccJerk-arCoeff()-X,4"
112 "tbodyaccjerk_arcoeff_y_1" "tBodyAccJerk-arCoeff()-Y,1"
113 "tbodyaccjerk_arcoeff_y_2" "tBodyAccJerk-arCoeff()-Y,2"
114 "tbodyaccjerk_arcoeff_y_3" "tBodyAccJerk-arCoeff()-Y,3"
115 "tbodyaccjerk_arcoeff_y_4" "tBodyAccJerk-arCoeff()-Y,4"
116 "tbodyaccjerk_arcoeff_z_1" "tBodyAccJerk-arCoeff()-Z,1"
117 "tbodyaccjerk_arcoeff_z_2" "tBodyAccJerk-arCoeff()-Z,2"
118 "tbodyaccjerk_arcoeff_z_3" "tBodyAccJerk-arCoeff()-Z,3"
119 "tbodyaccjerk_arcoeff_z_4" "tBodyAccJerk-arCoeff()-Z,4"
120 "tbodyaccjerk_correlation_x_y" "tBodyAccJerk-correlation()-X,Y"
121 "tbodyaccjerk_correlation_x_z" "tBodyAccJerk-correlation()-X,Z"
122 "tbodyaccjerk_correlation_y_z" "tBodyAccJerk-correlation()-Y,Z"
123 "tbodygyro_mean_x" "tBodyGyro-mean()-X"
124 "tbodygyro_mean_y" "tBodyGyro-mean()-Y"
125 "tbodygyro_mean_z" "tBodyGyro-mean()-Z"
126 "tbodygyro_std_x" "tBodyGyro-std()-X"
127 "tbodygyro_std_y" "tBodyGyro-std()-Y"
128 "tbodygyro_std_z" "tBodyGyro-std()-Z"
129 "tbodygyro_mad_x" "tBodyGyro-mad()-X"
130 "tbodygyro_mad_y" "tBodyGyro-mad()-Y"
131 "tbodygyro_mad_z" "tBodyGyro-mad()-Z"
132 "tbodygyro_max_x" "tBodyGyro-max()-X"
133 "tbodygyro_max_y" "tBodyGyro-max()-Y"
134 "tbodygyro_max_z" "tBodyGyro-max()-Z"
135 "tbodygyro_min_x" "tBodyGyro-min()-X"
136 "tbodygyro_min_y" "tBodyGyro-min()-Y"
137 "tbodygyro_min_z" "tBodyGyro-min()-Z"
138 "tbodygyro_sma" "tBodyGyro-sma()"
139 "tbodygyro_energy_x" "tBodyGyro-energy()-X"
140 "tbodygyro_energy_y" "tBodyGyro-energy()-Y"
141 "tbodygyro_energy_z" "tBodyGyro-energy()-Z"
142 "tbodygyro_iqr_x" "tBodyGyro-iqr()-X"
143 "tbodygyro_iqr_y" "tBodyGyro-iqr()-Y"
144 "tbodygyro_iqr_z" "tBodyGyro-iqr()-Z"
145 "tbodygyro_entropy_x" "tBodyGyro-entropy()-X"
146 "tbodygyro_entropy_y" "tBodyGyro-entropy()-Y"
147 "tbodygyro_entropy_z" "tBodyGyro-entropy()-Z"
148 "tbodygyro_arcoeff_x_1" "tBodyGyro-arCoeff()-X,1"
149 "tbodygyro_arcoeff_x_2" "tBodyGyro-arCoeff()-X,2"
150 "tbodygyro_arcoeff_x_3" "tBodyGyro-arCoeff()-X,3"
151 "tbodygyro_arcoeff_x_4" "tBodyGyro-arCoeff()-X,4"
152 "tbodygyro_arcoeff_y_1" "tBodyGyro-arCoeff()-Y,1"
153 "tbodygyro_arcoeff_y_2" "tBodyGyro-arCoeff()-Y,2"
154 "tbodygyro_arcoeff_y_3" "tBodyGyro-arCoeff()-Y,3"
155 "tbodygyro_arcoeff_y_4" "tBodyGyro-arCoeff()-Y,4"
156 "tbodygyro_arcoeff_z_1" "tBodyGyro-arCoeff()-Z,1"
157 "tbodygyro_arcoeff_z_2" "tBodyGyro-arCoeff()-Z,2"
158 "tbodygyro_arcoeff_z_3" "tBodyGyro-arCoeff()-Z,3"
159 "tbodygyro_arcoeff_z_4" "tBodyGyro-arCoeff()-Z,4"
160 "tbodygyro_correlation_x_y" "tBodyGyro-correlation()-X,Y"
161 "tbodygyro_correlation_x_z" "tBodyGyro-correlation()-X,Z"
162 "tbodygyro_correlation_y_z" "tBodyGyro-correlation()-Y,Z"
163 "tbodygyrojerk_mean_x" "tBodyGyroJerk-mean()-X"
164 "tbodygyrojerk_mean_y" "tBodyGyroJerk-mean()-Y"
165 "tbodygyrojerk_mean_z" "tBodyGyroJerk-mean()-Z"
166 "tbodygyrojerk_std_x" "tBodyGyroJerk-std()-X"
167 "tbodygyrojerk_std_y" "tBodyGyroJerk-std()-Y"
168 "tbodygyrojerk_std_z" "tBodyGyroJerk-std()-Z"
169 "tbodygyrojerk_mad_x" "tBodyGyroJerk-mad()-X"
170 "tbodygyrojerk_mad_y" "tBodyGyroJerk-mad()-Y"
171 "tbodygyrojerk_mad_z" "tBodyGyroJerk-mad()-Z"
172 "tbodygyrojerk_max_x" "tBodyGyroJerk-max()-X"
173 "tbodygyrojerk_max_y" "tBodyGyroJerk-max()-Y"
174 "tbodygyrojerk_max_z" "tBodyGyroJerk-max()-Z"
175 "tbodygyrojerk_min_x" "tBodyGyroJerk-min()-X"
176 "tbodygyrojerk_min_y" "tBodyGyroJerk-min()-Y"
177 "tbodygyrojerk_min_z" "tBodyGyroJerk-min()-Z"
178 "tbodygyrojerk_sma" "tBodyGyroJerk-sma()"
179 "tbodygyrojerk_energy_x" "tBodyGyroJerk-energy()-X"
180 "tbodygyrojerk_energy_y" "tBodyGyroJerk-energy()-Y"
181 "tbodygyrojerk_energy_z" "tBodyGyroJerk-energy()-Z"
182 "tbodygyrojerk_iqr_x" "tBodyGyroJerk-iqr()-X"
183 "tbodygyrojerk_iqr_y" "tBodyGyroJerk-iqr()-Y"
184 "tbodygyrojerk_iqr_z" "tBodyGyroJerk-iqr()-Z"
185 "tbodygyrojerk_entropy_x" "tBodyGyroJerk-entropy()-X"
186 "tbodygyrojerk_entropy_y" "tBodyGyroJerk-entropy()-Y"
187 "tbodygyrojerk_entropy_z" "tBodyGyroJerk-entropy()-Z"
188 "tbodygyrojerk_arcoeff_x_1" "tBodyGyroJerk-arCoeff()-X,1"
189 "tbodygyrojerk_arcoeff_x_2" "tBodyGyroJerk-arCoeff()-X,2"
190 "tbodygyrojerk_arcoeff_x_3" "tBodyGyroJerk-arCoeff()-X,3"
191 "tbodygyrojerk_arcoeff_x_4" "tBodyGyroJerk-arCoeff()-X,4"
192 "tbodygyrojerk_arcoeff_y_1" "tBodyGyroJerk-arCoeff()-Y,1"
193 "tbodygyrojerk_arcoeff_y_2" "tBodyGyroJerk-arCoeff()-Y,2"
194 "tbodygyrojerk_arcoeff_y_3" "tBodyGyroJerk-arCoeff()-Y,3"
195 "tbodygyrojerk_arcoeff_y_4" "tBodyGyroJerk-arCoeff()-Y,4"
196 "tbodygyrojerk_arcoeff_z_1" "tBodyGyroJerk-arCoeff()-Z,1"
197 "tbodygyrojerk_arcoeff_z_2" "tBodyGyroJerk-arCoeff()-Z,2"
198 "tbodygyrojerk_arcoeff_z_3" "tBodyGyroJerk-arCoeff()-Z,3"
199 "tbodygyrojerk_arcoeff_z_4" "tBodyGyroJerk-arCoeff()-Z,4"
200 "tbodygyrojerk_correlation_x_y" "tBodyGyroJerk-correlation()-X,Y"
201 "tbodygyrojerk_correlation_x_z" "tBodyGyroJerk-correlation()-X,Z"
202 "tbodygyrojerk_correlation_y_z" "tBodyGyroJerk-correlation()-Y,Z"
203 "tbodyaccmag_mean" "tBodyAccMag-mean()"
204 "tbodyaccmag_std" "tBodyAccMag-std()"
205 "tbodyaccmag_mad" "tBodyAccMag-mad()"
206 "tbodyaccmag_max" "tBodyAccMag-max()"
207 "tbodyaccmag_min" "tBodyAccMag-min()"
208 "tbodyaccmag_sma" "tBodyAccMag-sma()"
209 "tbodyaccmag_energy" "tBodyAccMag-energy()"
210 "tbodyaccmag_iqr" "tBodyAccMag-iqr()"
211 "tbodyaccmag_entropy" "tBodyAccMag-entropy()"
212 "tbodyaccmag_arcoeff_1" "tBodyAccMag-arCoeff()1"
213 "tbodyaccmag_arcoeff_2" "tBodyAccMag-arCoeff()2"
214 "tbodyaccmag_arcoeff_3" "tBodyAccMag-arCoeff()3"
215 "tbodyaccmag_arcoeff_4" "tBodyAccMag-arCoeff()4"
216 "tgravityaccmag_mean" "tGravityAccMag-mean()"
217 "tgravityaccmag_std" "tGravityAccMag-std()"
218 "tgravityaccmag_mad" "tGravityAccMag-mad()"
219 "tgravityaccmag_max" "tGravityAccMag-max()"
220 "tgravityaccmag_min" "tGravityAccMag-min()"
221 "tgravityaccmag_sma" "tGravityAccMag-sma()"
222 "tgravityaccmag_energy" "tGravityAccMag-energy()"
223 "tgravityaccmag_iqr" "tGravityAccMag-iqr()"
224 "tgravityaccmag_entropy" "tGravityAccMag-entropy()"
225 "tgravityaccmag_arcoeff_1" "tGravityAccMag-arCoeff()1"
226 "tgravityaccmag_arcoeff_2" "tGravityAccMag-arCoeff()2"
227 "tgravityaccmag_arcoeff_3" "tGravityAccMag-arCoeff()3"
228 "tgravityaccmag_arcoeff_4" "tGravityAccMag-arCoeff()4"
229 "tbodyaccjerkmag_mean" "tBodyAccJerkMag-mean()"
230 "tbodyaccjerkmag_std" "tBodyAccJerkMag-std()"
231 "tbodyaccjerkmag_mad" "tBodyAccJerkMag-mad()"
232 "tbodyaccjerkmag_max" "tBodyAccJerkMag-max()"
233 "tbodyaccjerkmag_min" "tBodyAccJerkMag-min()"
234 "tbodyaccjerkmag_sma" "tBodyAccJerkMag-sma()"
235 "tbodyaccjerkmag_energy" "tBodyAccJerkMag-energy()"
236 "tbodyaccjerkmag_iqr" "tBodyAccJerkMag-iqr()"
237 "tbodyaccjerkmag_entropy" "tBodyAccJerkMag-entropy()"
238 "tbodyaccjerkmag_arcoeff_1" "tBodyAccJerkMag-arCoeff()1"
239 "tbodyaccjerkmag_arcoeff_2" "tBodyAccJerkMag-arCoeff()2"
240 "tbodyaccjerkmag_arcoeff_3" "tBodyAccJerkMag-arCoeff()3"
241 "tbodyaccjerkmag_arcoeff_4" "tBodyAccJerkMag-arCoeff()4"
242 "tbodygyromag_mean" "tBodyGyroMag-mean()"
243 "tbodygyromag_std" "tBodyGyroMag-std()"
244 "tbodygyromag_mad" "tBodyGyroMag-mad()"
245 "tbodygyromag_max" "tBodyGyroMag-max()"
246 "tbodygyromag_min" "tBodyGyroMag-min()"
247 "tbodygyromag_sma" "tBodyGyroMag-sma()"
248 "tbodygyromag_energy" "tBodyGyroMag-energy()"
249 "tbodygyromag_iqr" "tBodyGyroMag-iqr()"
250 "tbodygyromag_entropy" "tBodyGyroMag-entropy()"
251 "tbodygyromag_arcoeff_1" "tBodyGyroMag-arCoeff()1"
252 "tbodygyromag_arcoeff_2" "tBodyGyroMag-arCoeff()2"
253 "tbodygyromag_arcoeff_3" "tBodyGyroMag-arCoeff()3"
254 "tbodygyromag_arcoeff_4" "tBodyGyroMag-arCoeff()4"
255 "tbodygyrojerkmag_mean" "tBodyGyroJerkMag-mean()"
256 "tbodygyrojerkmag_std" "tBodyGyroJerkMag-std()"
257 "tbodygyrojerkmag_mad" "tBodyGyroJerkMag-mad()"
258 "tbodygyrojerkmag_max" "tBodyGyroJerkMag-max()"
259 "tbodygyrojerkmag_min" "tBodyGyroJerkMag-min()"
260 "tbodygyrojerkmag_sma" "tBodyGyroJerkMag-sma()"
261 "tbodygyrojerkmag_energy" "tBodyGyroJerkMag-energy()"
262 "tbodygyrojerkmag_iqr" "tBodyGyroJerkMag-iqr()"
263 "tbodygyrojerkmag_entropy" "tBodyGyroJerkMag-entropy()"
264 "tbodygyrojerkmag_arcoeff_1" "tBodyGyroJerkMag-arCoeff()1"
265 "tbodygyrojerkmag_arcoeff_2" "tBodyGyroJerkMag-arCoeff()2"
266 "tbodygyrojerkmag_arcoeff_3" "tBodyGyroJerkMag-arCoeff()3"
267 "tbodygyrojerkmag_arcoeff_4" "tBodyGyroJerkMag-arCoeff()4"
268 "fbodyacc_mean_x" "fBodyAcc-mean()-X"
269 "fbodyacc_mean_y" "fBodyAcc-mean()-Y"
270 "fbodyacc_mean_z" "fBodyAcc-mean()-Z"
271 "fbodyacc_std_x" "fBodyAcc-std()-X"
272 "fbodyacc_std_y" "fBodyAcc-std()-Y"
273 "fbodyacc_std_z" "fBodyAcc-std()-Z"
274 "fbodyacc_mad_x" "fBodyAcc-mad()-X"
275 "fbodyacc_mad_y" "fBodyAcc-mad()-Y"
276 "fbodyacc_mad_z" "fBodyAcc-mad()-Z"
277 "fbodyacc_max_x" "fBodyAcc-max()-X"
278 "fbodyacc_max_y" "fBodyAcc-max()-Y"
279 "fbodyacc_max_z" "fBodyAcc-max()-Z"
280 "fbodyacc_min_x" "fBodyAcc-min()-X"
281 "fbodyacc_min_y" "fBodyAcc-min()-Y"
282 "fbodyacc_min_z" "fBodyAcc-min()-Z"
283 "fbodyacc_sma" "fBodyAcc-sma()"
284 "fbodyacc_energy_x" "fBodyAcc-energy()-X"
285 "fbodyacc_energy_y" "fBodyAcc-energy()-Y"
286 "fbodyacc_energy_z" "fBodyAcc-energy()-Z"
287 "fbodyacc_iqr_x" "fBodyAcc-iqr()-X"
288 "fbodyacc_iqr_y" "fBodyAcc-iqr()-Y"
289 "fbodyacc_iqr_z" "fBodyAcc-iqr()-Z"
290 "fbodyacc_entropy_x" "fBodyAcc-entropy()-X"
291 "fbodyacc_entropy_y" "fBodyAcc-entropy()-Y"
292 "fbodyacc_entropy_z" "fBodyAcc-entropy()-Z"
293 "fbodyacc_maxinds_x" "fBodyAcc-maxInds-X"
294 "fbodyacc_maxinds_y" "fBodyAcc-maxInds-Y"
295 "fbodyacc_maxinds_z" "fBodyAcc-maxInds-Z"
296 "fbodyacc_meanfreq_x" "fBodyAcc-meanFreq()-X"
297 "fbodyacc_meanfreq_y" "fBodyAcc-meanFreq()-Y"
298 "fbodyacc_meanfreq_z" "fBodyAcc-meanFreq()-Z"
299 "fbodyacc_skewness_x" "fBodyAcc-skewness()-X"
300 "fbodyacc_kurtosis_x" "fBodyAcc-kurtosis()-X"
301 "fbodyacc_skewness_y" "fBodyAcc-skewness()-Y"
302 "fbodyacc_kurtosis_y" "fBodyAcc-kurtosis()-Y"
303 "fbodyacc_skewness_z" "fBodyAcc-skewness()-Z"
304 "fbodyacc_kurtosis_z" "fBodyAcc-kurtosis()-Z"
305 "fbodyacc_bandsenergy_1_8" "fBodyAcc-bandsEnergy()-1,8"
306 "fbodyacc_bandsenergy_9_16" "fBodyAcc-bandsEnergy()-9,16"
307 "fbodyacc_bandsenergy_17_24" "fBodyAcc-bandsEnergy()-17,24"
308 "fbodyacc_bandsenergy_25_32" "fBodyAcc-bandsEnergy()-25,32"
309 "fbodyacc_bandsenergy_33_40" "fBodyAcc-bandsEnergy()-33,40"
310 "fbodyacc_bandsenergy_41_48" "fBodyAcc-bandsEnergy()-41,48"
311 "fbodyacc_bandsenergy_49_56" "fBodyAcc-bandsEnergy()-49,56"
312 "fbodyacc_bandsenergy_57_64" "fBodyAcc-bandsEnergy()-57,64"
313 "fbodyacc_bandsenergy_1_16" "fBodyAcc-bandsEnergy()-1,16"
314 "fbodyacc_bandsenergy_17_32" "fBodyAcc-bandsEnergy()-17,32"
315 "fbodyacc_bandsenergy_33_48" "fBodyAcc-bandsEnergy()-33,48"
316 "fbodyacc_bandsenergy_49_64" "fBodyAcc-bandsEnergy()-49,64"
317 "fbodyacc_bandsenergy_1_24" "fBodyAcc-bandsEnergy()-1,24"
318 "fbodyacc_bandsenergy_25_48" "fBodyAcc-bandsEnergy()-25,48"
319 "fbodyacc_bandsenergy_1_8.1" "fBodyAcc-bandsEnergy()-1,8"
320 "fbodyacc_bandsenergy_9_16.1" "fBodyAcc-bandsEnergy()-9,16"
321 "fbodyacc_bandsenergy_17_24.1" "fBodyAcc-bandsEnergy()-17,24"
322 "fbodyacc_bandsenergy_25_32.1" "fBodyAcc-bandsEnergy()-25,32"
323 "fbodyacc_bandsenergy_33_40.1" "fBodyAcc-bandsEnergy()-33,40"
324 "fbodyacc_bandsenergy_41_48.1" "fBodyAcc-bandsEnergy()-41,48"
325 "fbodyacc_bandsenergy_49_56.1" "fBodyAcc-bandsEnergy()-49,56"
326 "fbodyacc_bandsenergy_57_64.1" "fBodyAcc-bandsEnergy()-57,64"
327 "fbodyacc_bandsenergy_1_16.1" "fBodyAcc-bandsEnergy()-1,16"
328 "fbodyacc_bandsenergy_17_32.1" "fBodyAcc-bandsEnergy()-17,32"
329 "fbodyacc_bandsenergy_33_48.1" "fBodyAcc-bandsEnergy()-33,48"
330 "fbodyacc_bandsenergy_49_64.1" "fBodyAcc-bandsEnergy()-49,64"
331 "fbodyacc_bandsenergy_1_24.1" "fBodyAcc-bandsEnergy()-1,24"
332 "fbodyacc_bandsenergy_25_48.1" "fBodyAcc-bandsEnergy()-25,48"
333 "fbodyacc_bandsenergy_1_8.2" "fBodyAcc-bandsEnergy()-1,8"
334 "fbodyacc_bandsenergy_9_16.2" "fBodyAcc-bandsEnergy()-9,16"
335 "fbodyacc_bandsenergy_17_24.2" "fBodyAcc-bandsEnergy()-17,24"
336 "fbodyacc_bandsenergy_25_32.2" "fBodyAcc-bandsEnergy()-25,32"
337 "fbodyacc_bandsenergy_33_40.2" "fBodyAcc-bandsEnergy()-33,40"
338 "fbodyacc_bandsenergy_41_48.2" "fBodyAcc-bandsEnergy()-41,48"
339 "fbodyacc_bandsenergy_49_56.2" "fBodyAcc-bandsEnergy()-49,56"
340 "fbodyacc_bandsenergy_57_64.2" "fBodyAcc-bandsEnergy()-57,64"
341 "fbodyacc_bandsenergy_1_16.2" "fBodyAcc-bandsEnergy()-1,16"
342 "fbodyacc_bandsenergy_17_32.2" "fBodyAcc-bandsEnergy()-17,32"
343 "fbodyacc_bandsenergy_33_48.2" "fBodyAcc-bandsEnergy()-33,48"
344 "fbodyacc_bandsenergy_49_64.2" "fBodyAcc-bandsEnergy()-49,64"
345 "fbodyacc_bandsenergy_1_24.2" "fBodyAcc-bandsEnergy()-1,24"
346 "fbodyacc_bandsenergy_25_48.2" "fBodyAcc-bandsEnergy()-25,48"
347 "fbodyaccjerk_mean_x" "fBodyAccJerk-mean()-X"
348 "fbodyaccjerk_mean_y" "fBodyAccJerk-mean()-Y"
349 "fbodyaccjerk_mean_z" "fBodyAccJerk-mean()-Z"
350 "fbodyaccjerk_std_x" "fBodyAccJerk-std()-X"
351 "fbodyaccjerk_std_y" "fBodyAccJerk-std()-Y"
352 "fbodyaccjerk_std_z" "fBodyAccJerk-std()-Z"
353 "fbodyaccjerk_mad_x" "fBodyAccJerk-mad()-X"
354 "fbodyaccjerk_mad_y" "fBodyAccJerk-mad()-Y"
355 "fbodyaccjerk_mad_z" "fBodyAccJerk-mad()-Z"
356 "fbodyaccjerk_max_x" "fBodyAccJerk-max()-X"
357 "fbodyaccjerk_max_y" "fBodyAccJerk-max()-Y"
358 "fbodyaccjerk_max_z" "fBodyAccJerk-max()-Z"
359 "fbodyaccjerk_min_x" "fBodyAccJerk-min()-X"
360 "fbodyaccjerk_min_y" "fBodyAccJerk-min()-Y"
361 "fbodyaccjerk_min_z" "fBodyAccJerk-min()-Z"
362 "fbodyaccjerk_sma" "fBodyAccJerk-sma()"
363 "fbodyaccjerk_energy_x" "fBodyAccJerk-energy()-X"
364 "fbodyaccjerk_energy_y" "fBodyAccJerk-energy()-Y"
365 "fbodyaccjerk_energy_z" "fBodyAccJerk-energy()-Z"
366 "fbodyaccjerk_iqr_x" "fBodyAccJerk-iqr()-X"
367 "fbodyaccjerk_iqr_y" "fBodyAccJerk-iqr()-Y"
368 "fbodyaccjerk_iqr_z" "fBodyAccJerk-iqr()-Z"
369 "fbodyaccjerk_entropy_x" "fBodyAccJerk-entropy()-X"
370 "fbodyaccjerk_entropy_y" "fBodyAccJerk-entropy()-Y"
371 "fbodyaccjerk_entropy_z" "fBodyAccJerk-entropy()-Z"
372 "fbodyaccjerk_maxinds_x" "fBodyAccJerk-maxInds-X"
373 "fbodyaccjerk_maxinds_y" "fBodyAccJerk-maxInds-Y"
374 "fbodyaccjerk_maxinds_z" "fBodyAccJerk-maxInds-Z"
375 "fbodyaccjerk_meanfreq_x" "fBodyAccJerk-meanFreq()-X"
